name,type,start_time,duration,"error","data"
"ch0","data",2.3116615,0.000082,"framing",0x00
"ch1","data",2.312662,0.000082,"framing",0x00
"ch1","data",2.475066,0.000082,"framing",0x73
"ch1","data",2.4751995,0.000082,"framing",0x6C
"ch1","data",2.4753325,0.000082,,0x00
"ch1","data",2.475426,0.000082,,0x6C
"ch1","data",2.4755195,0.000082,"framing",0x9C
"ch1","data",2.475653,0.000082,"framing",0x9E
"ch1","data",2.475773,0.000082,,0x7C
"ch1","data",2.4758665,0.000082,,0x00
"ch1","data",2.47596,0.000082,"framing",0x8C
"ch1","data",2.476067,0.000082,,0x6C
"ch1","data",2.47616,0.000082,"framing",0xE0
"ch1","data",2.476267,0.000082,,0x7C
"ch1","data",2.4763735,0.000082,"framing",0x02
"ch1","data",2.476494,0.000082,"framing",0x0C
"ch1","data",2.4766275,0.000082,"framing",0x0C
"ch1","data",2.476761,0.000082,"framing",0x0C
"ch1","data",2.476894,0.000082,"framing",0x8C
"ch1","data",2.4770275,0.000082,"framing",0x0C
"ch1","data",2.477161,0.000082,"framing",0x6C
"ch1","data",2.4772945,0.000082,"framing",0xEC
"ch1","data",2.477428,0.000082,,0x0C
"ch1","data",2.477535,0.000082,"framing",0x63
"ch1","data",2.4776415,0.000082,,0x7C
"ch1","data",2.477735,0.000082,,0x8E
"ch1","data",2.477842,0.000082,"framing",0x83
"ch1","data",2.477975,0.000082,"framing",0x02
"ch1","data",2.4780955,0.000082,"framing",0xEC
"ch1","data",2.478242,0.000082,"framing",0x12
"ch1","data",2.4783755,0.000082,"framing",0x92
"ch1","data",2.478509,0.000082,"framing",0x72
"ch1","data",2.4786425,0.000082,"framing",0x92
"ch1","data",2.478776,0.000082,,0x62
"ch1","data",2.478896,0.000082,"framing",0x6C
"ch1","data",2.4790295,0.000082,,0x0C
"ch1","data",2.4791365,0.000082,"framing",0x63
"ch1","data",2.4792965,0.000082,"framing",0x8C
"ch1","data",2.4794435,0.000082,,0xF3
"ch1","data",2.4795365,0.000082,,0x6E
"ch1","data",2.47967,0.000082,"framing",0x6E
"ch1","data",2.4797905,0.000082,"framing",0x9F
"ch1","data",2.479964,0.000082,,0x6C
"ch1","data",2.4800705,0.000082,,0x6E
"ch1","data",2.480204,0.000082,"framing",0x6E
"ch1","data",2.480324,0.000082,"framing",0x9C
"ch1","data",2.480431,0.000082,"framing",0xE2
"ch1","data",2.4805375,0.000082,,0xEC
"ch1","data",2.480631,0.000082,"framing",0x0C
"ch1","data",2.480738,0.000082,,0x63
"ch1","data",2.4808445,0.000082,,0x1C
"ch1","data",2.480938,0.000082,,0x70
"ch1","data",2.4810315,0.000082,,0xEC
"ch1","data",2.481125,0.000082,"framing",0x8E
"ch1","data",2.4812315,0.000082,"framing",0x6C
"ch1","data",2.4813385,0.000082,"framing",0x72
"ch1","data",2.481472,0.000082,"framing",0x6C
"ch1","data",2.4816055,0.000082,"framing",0x73
"ch1","data",2.481739,0.000082,"framing",0x6C
"ch1","data",2.4831115,0.000082,,0x70
"ch1","data",2.4832185,0.000082,,0xF2
"ch1","data",2.483312,0.000082,,0x6E
"ch1","data",2.4834055,0.000082,"framing",0xE0
"ch1","data",2.483512,0.000082,,0x10
"ch1","data",2.483619,0.000082,"framing",0x03
"ch1","data",2.483739,0.000082,"framing",0x0C
"ch1","data",2.4838725,0.000082,"framing",0x0C
"ch1","data",2.4840195,0.000082,"framing",0x83
"ch1","data",2.4841395,0.000082,"framing",0x0C
"ch1","data",2.484273,0.000082,"framing",0x6C
"ch1","data",2.4844065,0.000082,"framing",0x0C
"ch1","data",2.48454,0.000082,"framing",0x0C
"ch1","data",2.484673,0.000082,"framing",0x0C
"ch1","data",2.4848065,0.000082,"framing",0x0C
"ch1","data",2.48494,0.000082,"framing",0x0C
"ch1","data",2.4850735,0.000082,,0x0C
"ch1","data",2.4851805,0.000082,"framing",0x63
"ch1","data",2.4853405,0.000082,,0x0C
"ch1","data",2.4854475,0.000082,,0x6F
"ch1","data",2.4855405,0.000082,"framing",0xE2
"ch1","data",2.4856475,0.000082,,0x7C
"ch1","data",2.4857545,0.000082,"framing",0x03
"ch1","data",2.4858745,0.000082,"framing",0x6C
"ch1","data",2.486008,0.000082,"framing",0xEC
"ch1","data",2.4861415,0.000082,"framing",0x8C
"ch1","data",2.486275,0.000082,"framing",0x0C
"ch1","data",2.486408,0.000082,,0x0C
"ch1","data",2.486515,0.000082,"framing",0x62
"ch1","data",2.486675,0.000082,"framing",0x8C
"ch1","data",2.486822,0.000082,,0xF2
"ch1","data",2.4869155,0.000082,,0x6F
"ch1","data",2.487049,0.000082,,0x6F
"ch1","data",2.4871425,0.000082,"framing",0xEF
"ch1","data",2.487249,0.000082,,0x00
"ch1","data",2.4873425,0.000082,"framing",0x6C
"ch1","data",2.487476,0.000082,,0x8C
"ch1","data",2.4875695,0.000082,"framing",0x8F
"ch1","data",2.487743,0.000082,,0x6C
"ch1","data",2.4878495,0.000082,"framing",0x60
"ch1","data",2.4879565,0.000082,,0x03
"ch1","data",2.4891015,0.000082,,0x90
"ch1","data",2.489208,0.000082,"framing",0x12
"ch1","data",2.4893415,0.000082,,0x12
"ch1","data",2.489435,0.000082,"framing",0x6E
"ch1","data",2.4895685,0.000082,"framing",0x6E
"ch1","data",2.4897285,0.000082,"framing",0x0C
"ch1","data",2.489862,0.000082,,0x6C
"ch1","data",2.489969,0.000082,"framing",0x60
"ch1","data",2.4900755,0.000082,,0x02
"ch1","data",2.490169,0.000082,,0x0E
"ch1","data",2.490276,0.000082,,0x03
"ch1","data",2.4903695,0.000082,,0x6F
"ch1","data",2.490476,0.000082,,0x72
"ch1","data",2.4905695,0.000082,,0x8E
"ch1","data",2.4906765,0.000082,"framing",0x93
"ch1","data",2.4908095,0.000082,,0x92
"ch1","data",2.490903,0.000082,"framing",0x6E
"ch1","data",2.4910635,0.000082,"framing",0x0C
"ch1","data",2.491197,0.000082,"framing",0x0C
"ch1","data",2.4913435,0.000082,"framing",0x72
"ch1","data",2.4914635,0.000082,"framing",0x0C
"ch1","data",2.491597,0.000082,,0x6C
"ch1","data",2.491704,0.000082,"framing",0x60
"ch1","data",2.4918105,0.000082,,0x02
"ch1","data",2.491904,0.000082,,0x70
